Sample,Tree,A645,A663,Chl_a,Chl_b,Total_Chl,Treatment
T1 L1 N-T,T1,0.407,0.213,1.45706,7.121519999999999,8.81091,Bokashi Treated
T1 L1 N-B,T1,0.337,0.155,0.9455800000000001,6.00416,7.136770000000001,Bokashi Treated
T1 L2 N-T,T1,0.367,0.143,0.7147600000000001,6.668419999999999,7.5804100000000005,Bokashi Treated
T1 L2 N-B,T1,0.452,0.191,1.06199,8.13803,9.446650000000002,Bokashi Treated
T1 L3 N-T,T1,0.295,0.166,1.1979100000000003,5.10337,6.472580000000001,Bokashi Treated
T1 L3 N-B,T1,0.368,0.162,0.94394,6.592979999999999,7.73934,Bokashi Treated
T1 L1 E-T,T1,0.389,0.154,0.78725,7.05595,8.05286,Bokashi Treated
T1 L1 E-B,T1,0.476,0.184,0.9090800000000003,8.65636,9.82088,Bokashi Treated
T1 L2 E-T,T1,0.418,0.164,0.8278600000000005,7.589419999999999,8.6422,Bokashi Treated
T1 L2 E-B,T1,0.458,0.185,0.9718700000000002,8.28899,9.50863,Bokashi Treated
T1 L3 E-T,T1,0.455,0.173,0.83378,8.28896,9.366190000000001,Bokashi Treated
T1 L3 E-B,T1,0.517,0.216,1.18459,9.32073,10.786800000000001,Bokashi Treated
T1 L1 S-T,T1,0.413,0.167,0.8785400000000001,7.473679999999999,8.57569,Bokashi Treated
T1 L1 S-B,T1,0.318,0.131,0.7059300000000002,5.74241,6.62101,Bokashi Treated
T1 L2 S-T,T1,0.469,0.188,0.97759,8.49533,9.72628,Bokashi Treated
T1 L2 S-B,T1,0.491,0.216,1.2576500000000002,8.79735,10.32504,Bokashi Treated
T1 L3 S-T,T1,0.569,0.213,1.00184,10.382579999999997,11.68803,Bokashi Treated
T1 L3 S-B,T1,0.506,0.205,1.0811899999999999,9.15463,10.50971,Bokashi Treated
T1 L1 W-T,T1,0.273,0.107,0.5393399999999999,4.95728,5.643490000000002,Bokashi Treated
T1 L1 W-B,T1,0.411,0.158,0.7742700000000002,7.478689999999999,8.4733,Bokashi Treated
T1 L2 W-T,T1,0.438,0.169,0.8327100000000003,7.966869999999998,9.034550000000001,Bokashi Treated
T1 L2 W-B,T1,0.528,0.201,0.9705300000000001,9.61761,10.87071,Bokashi Treated
T1 L3 W-T,T1,0.341,0.127,0.5924600000000001,6.2255199999999995,6.999770000000001,Bokashi Treated
T1 L3 W-B,T1,0.517,0.2,0.98923,9.401209999999999,10.667920000000002,Bokashi Treated
