"Worksheet exported from: C:\Users\Admin01\Documents\Agilent\MP Expert\My Results\SWECC04.mpws"
""
"Label","Type","Date Time","Element","Element Label","Flags","Unadjusted Data","Concentration","Unit","Intensity","Concentration SD","Concentration %RSD","Intensity SD","Intensity %RSD","Weight","Volume","Dilution","Internal Standard","Replicates","Concentration Replicate 1","Concentration Replicate 2","Concentration Replicate 3","Intensity Replicate 1","Intensity Replicate 2","Intensity Replicate 3","Flags Replicate 1","Flags Replicate 2","Flags Replicate 3"
"Blank","BLK","22/05/2026 10:44:11","Zn 472,215","Zn","!","0,00","0,00","ppm","0,02","-","-","1,15","> 100,00","-","-","-","-","3","0,00","0,00","0,00","-0,23","-0,99","1,26","","",""
"Blank","BLK","22/05/2026 10:44:11","Zn 481,053","Zn","!","0,00","0,00","ppm","0,00","-","-","0,67","> 100,00","-","-","-","-","3","0,00","0,00","0,00","-0,42","-0,34","0,77","","",""
"Blank","BLK","22/05/2026 10:44:11","Fe 358,119","Fe","!","0,00","0,00","ppm","0,69","-","-","22,04","> 100,00","-","-","-","-","3","0,00","0,00","0,00","-24,69","11,69","15,06","","",""
"Blank","BLK","22/05/2026 10:44:11","Ca 393,366","Ca","!x","0,00","0,00","ppm","3,81","-","-","299,29","> 100,00","-","-","-","-","3","0,00","0,00","0,00","-21,18","-282,19","314,82","x","x","x"
"Blank","BLK","22/05/2026 10:44:11","Ca 396,847","Ca","!x","0,00","0,00","ppm","0,77","-","-","44,04","> 100,00","-","-","-","-","3","0,00","0,00","0,00","-48,63","35,93","15,01","x","x","x"
"Blank","BLK","22/05/2026 10:44:11","Fe 371,993","Fe","!","0,00","0,00","ppm","0,11","-","-","11,40","> 100,00","-","-","-","-","3","0,00","0,00","0,00","3,44","-12,58","9,48","","",""
"Blank","BLK","22/05/2026 10:44:11","Cu 218,172","Cu","!","0,00","0,00","ppm","0,23","-","-","13,42","> 100,00","-","-","-","-","3","0,00","0,00","0,00","14,85","-2,67","-11,51","","",""
"Blank","BLK","22/05/2026 10:44:11","Cu 316,968","Cu","!","0,00","0,00","ppm","-0,48","-","-","271,32","> 100,00","-","-","-","-","3","0,00","0,00","0,00","305,71","-96,16","-211,00","","",""
"Blank","BLK","22/05/2026 10:44:11","K 766,491","K","!","0,00","0,00","ppm","-0,07","-","-","60,10","> 100,00","-","-","-","-","3","0,00","0,00","0,00","-64,22","9,09","54,93","","",""
"Blank","BLK","22/05/2026 10:44:11","K 769,897","K","!","0,00","0,00","ppm","0,00","-","-","98,67","> 100,00","-","-","-","-","3","0,00","0,00","0,00","-104,82","13,75","91,08","","",""
"Blank","BLK","22/05/2026 10:44:11","Mn 257,610","Mn","!","0,00","0,00","ppm","0,13","-","-","11,25","> 100,00","-","-","-","-","3","0,00","0,00","0,00","5,42","7,76","-12,79","","",""
"Blank","BLK","22/05/2026 10:44:11","Mg 280,271","Mg","!","0,00","0,00","ppm","-0,03","-","-","8,47","> 100,00","-","-","-","-","3","0,00","0,00","0,00","0,68","8,06","-8,84","","",""
"Blank","BLK","22/05/2026 10:44:11","Mg 285,213","Mg","!","0,00","0,00","ppm","-0,01","-","-","13,58","> 100,00","-","-","-","-","3","0,00","0,00","0,00","13,40","0,34","-13,76","","",""
"Blank","BLK","22/05/2026 10:44:11","Mn 403,076","Mn","!","0,00","0,00","ppm","0,02","-","-","2,46","> 100,00","-","-","-","-","3","0,00","0,00","0,00","-1,46","2,85","-1,34","","",""
