tree,tree_no,group,element,conc
T1,1,Bokashi,Al,-0.8461412997013851
T1,1,Bokashi,Ca,
T1,1,Bokashi,Cu,0.4046613263014879
T1,1,Bokashi,Fe,
T1,1,Bokashi,K,41.12340503811767
T1,1,Bokashi,Mg,9.10048383390695
T1,1,Bokashi,Mn,0.02275380147149711
T1,1,Bokashi,Zn,57.5861981582574
T2,2,Bokashi,Al,-0.8772686715735888
T2,2,Bokashi,Ca,
T2,2,Bokashi,Cu,0.3715449651586309
T2,2,Bokashi,Fe,
T2,2,Bokashi,K,56.43825832045869
T2,2,Bokashi,Mg,8.011790336246644
T2,2,Bokashi,Mn,-0.17378591709772928
T2,2,Bokashi,Zn,59.4152063976821
T3,3,Bokashi,Al,0.0683522110645492
T3,3,Bokashi,Ca,-7.694831579006319
T3,3,Bokashi,Cu,-0.2606848928422861
T3,3,Bokashi,Fe,-0.7160325814514817
T3,3,Bokashi,K,40.83747547026309
T3,3,Bokashi,Mg,5.694765952812902
T3,3,Bokashi,Mn,0.41646302814273495
T3,3,Bokashi,Zn,10.325984096687616
T4,4,Untreated,Al,0.42871003474185526
T4,4,Untreated,Ca,
T4,4,Untreated,Cu,-0.426616349079151
T4,4,Untreated,Fe,-0.1942737169300099
T4,4,Untreated,K,41.20192416854961
T4,4,Untreated,Mg,6.1226900355628455
T4,4,Untreated,Mn,0.5417594281926893
T4,4,Untreated,Zn,0.08093559151054541
T5,5,Untreated,Al,0.36704288365076265
T5,5,Untreated,Ca,
T5,5,Untreated,Cu,-0.39943434168852654
T5,5,Untreated,Fe,-0.19688790990359142
T5,5,Untreated,K,31.66500138211977
T5,5,Untreated,Mg,4.857509979229618
T5,5,Untreated,Mn,0.5417433210705391
T5,5,Untreated,Zn,-0.04363716683818941
T6,6,Untreated,Al,0.3620072326232252
T6,6,Untreated,Ca,
T6,6,Untreated,Cu,-0.3063208993632405
T6,6,Untreated,Fe,-0.1984191314922905
T6,6,Untreated,K,26.65022835965449
T6,6,Untreated,Mg,4.608855548025094
T6,6,Untreated,Mn,0.44437809370671133
T6,6,Untreated,Zn,-0.06099647941375279
T7,7,Healthy ref,Al,0.058604761139584474
T7,7,Healthy ref,Ca,-18.149883722868367
T7,7,Healthy ref,Cu,-0.035184744450328
T7,7,Healthy ref,Fe,-0.6839540861068819
T7,7,Healthy ref,K,44.66919352059186
T7,7,Healthy ref,Mg,5.020268971781215
T7,7,Healthy ref,Mn,0.032031930767582706
T7,7,Healthy ref,Zn,9.571032889073589
