Sensor,Image ID,Time,GPS(Lat),GPS(Long),L*,a*,b*,C*,h,H,S,pf_tree,dir,leaf,side,tree,group,leaf_key,Chl_a,Chl_b,Total_Chl,A645,A663
FT1-N-L1-Top,57768.0,12-May-2026 11:00:50,51.585935,4.793235,45.3,-12.87,22.03,25.51,120.3,78.87,37.89,FT1,N,1,T,T1,Bokashi,T1_N_L1_T,1.45706,7.121519999999999,8.81091,0.407,0.213
FT1-N-L1-Bottom,57770.0,12-May-2026 11:03:56,51.585989,4.793212,41.83,-12.52,18.05,21.97,124.7,85.37,33.97,FT1,N,1,B,T1,Bokashi,T1_N_L1_B,0.9455800000000001,6.00416,7.136770000000001,0.337,0.155
FT1-N-L2-Top,57771.0,12-May-2026 11:06:36,51.585983,4.793209,48.25,-13.71,25.89,29.29,117.9,75.7,41.75,FT1,N,2,T,T1,Bokashi,T1_N_L2_T,0.7147600000000001,6.668419999999999,7.5804100000000005,0.367,0.143
FT1-N-L2-Bottom,57772.0,12-May-2026 11:07:39,51.585965,4.793193,43.9,-13.56,20.72,24.77,123.2,83.2,37.07,FT1,N,2,B,T1,Bokashi,T1_N_L2_B,1.06199,8.13803,9.446650000000002,0.452,0.191
FT1-N-L3-Top,57773.0,12-May-2026 11:08:22,51.585965,4.793196,46.97,-13.72,24.21,27.83,119.5,77.94,40.22,FT1,N,3,T,T1,Bokashi,T1_N_L3_T,1.1979100000000003,5.10337,6.472580000000001,0.295,0.166
FT1-N-L3-Bottom,57775.0,12-May-2026 11:09:42,51.585935,4.793235,46.96,-13.21,23.14,26.65,119.7,78.06,38.5,FT1,N,3,B,T1,Bokashi,T1_N_L3_B,0.94394,6.592979999999999,7.73934,0.368,0.162
FT1-E-L1-Top,57776.0,12-May-2026 11:14:26,51.585978,4.793207,45.47,-13.33,22.34,26.01,120.8,79.67,38.37,FT1,E,1,T,T1,Bokashi,T1_E_L1_T,0.78725,7.05595,8.05286,0.389,0.154
FT1-E-L1-Bottom,57777.0,12-May-2026 11:15:11,51.585978,4.793207,44.67,-13.53,21.57,25.46,122.1,81.56,37.82,FT1,E,1,B,T1,Bokashi,T1_E_L1_B,0.9090800000000003,8.65636,9.82088,0.476,0.184
FT1-E-L2-Top,57778.0,12-May-2026 11:16:23,51.585987,4.793211,46.22,-13.76,23.67,27.38,120.2,78.83,39.96,FT1,E,2,T,T1,Bokashi,T1_E_L2_T,0.8278600000000005,7.589419999999999,8.6422,0.418,0.164
FT1-E-L2-Bottom,57779.0,12-May-2026 11:17:16,51.585987,4.793211,44.81,-13.35,22.1,25.82,121.1,80.14,38.48,FT1,E,2,B,T1,Bokashi,T1_E_L2_B,0.9718700000000002,8.28899,9.50863,0.458,0.185
