element,wavelength,sample,group,conc_quad
Al,Al 396.152,FT01,Bokashi,12.254339213131678
Al,Al 396.152,FT02,Bokashi,18.314875715004163
Al,Al 396.152,FT03,Bokashi,9.779667269674716
Al,Al 396.152,NFT04,Untreated,17.761021494001827
Al,Al 396.152,NFT05,Untreated,18.77962927788346
Al,Al 396.152,NFT06,Untreated,24.266840416022184
Al,Al 396.152,HT07,Healthy ref,13.708161376641936
Mn,Mn 403.076,FT01,Bokashi,1.3329008334010182
Mn,Mn 403.076,FT02,Bokashi,1.33557329385091
Mn,Mn 403.076,FT03,Bokashi,1.3211184698045464
Mn,Mn 403.076,NFT04,Untreated,1.2615079728101823
Mn,Mn 403.076,NFT05,Untreated,1.2731320209032517
Mn,Mn 403.076,NFT06,Untreated,1.2826450054112364
Mn,Mn 403.076,HT07,Healthy ref,1.4446994956226749
Zn,Zn 481.053,FT01,Bokashi,1.0636396904555474
Zn,Zn 481.053,FT02,Bokashi,1.0221730493606391
Zn,Zn 481.053,FT03,Bokashi,1.0613113860932322
Zn,Zn 481.053,NFT04,Untreated,1.0818715693316492
Zn,Zn 481.053,NFT05,Untreated,1.0183957402599395
Zn,Zn 481.053,NFT06,Untreated,1.0270045818075928
Zn,Zn 481.053,HT07,Healthy ref,1.168635615750839
Cu,Cu 324.754,FT01,Bokashi,0.8313346351480273
Cu,Cu 324.754,FT02,Bokashi,0.7156077722015356
Cu,Cu 324.754,FT03,Bokashi,0.6804454909511738
Cu,Cu 324.754,NFT04,Untreated,0.6347108665924582
Cu,Cu 324.754,NFT05,Untreated,0.6041957148176225
Cu,Cu 324.754,NFT06,Untreated,0.6028004226911778
Cu,Cu 324.754,HT07,Healthy ref,0.6523023867897052
Fe,Fe 371.993,FT01,Bokashi,2.039491444086586
Fe,Fe 371.993,FT02,Bokashi,1.8632348025268881
Fe,Fe 371.993,FT03,Bokashi,1.8312839459061465
Fe,Fe 371.993,NFT04,Untreated,2.0427913394792165
Fe,Fe 371.993,NFT05,Untreated,2.222744577838076
Fe,Fe 371.993,NFT06,Untreated,2.030330905680075
Fe,Fe 371.993,HT07,Healthy ref,2.3293008537836526
