tree,group,observer,defol_class,defol_pct,transparency,dieback,epicormic
FT01,Bokashi,Tibbe,3,65,40,30,0
FT01,Bokashi,Hayden,3,60,40,35,0
FT02,Bokashi,Tibbe,2,35,30,25,0
FT02,Bokashi,Hayden,2,30,30,25,0
FT03,Bokashi,Tibbe,1,15,25,15,0
FT03,Bokashi,Hayden,1,20,20,15,0
NFT04,Untreated,Tibbe,3,80,75,80,2
NFT04,Untreated,Hayden,3,80,75,75,2
NFT05,Untreated,Tibbe,2,35,35,20,2
NFT05,Untreated,Hayden,2,40,35,20,2
NFT06,Untreated,Tibbe,3,60,45,40,1
NFT06,Untreated,Bibi,3,60,50,45,1
HT07,Healthy,Julian,0,20,10,0,0
HT07,Healthy,Bibi,0,10,5,0,0
HT08,Healthy,Julian,0,35,35,0,1
HT08,Healthy,Bibi,0,15,20,0,1
HT09,Healthy,Julian,0,5,40,5,1
HT09,Healthy,Bibi,0,10,20,5,1
